DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1990-08-15,       7.120,
1990-09-15,       7.027,
1990-10-15,       6.827,
1990-11-15,       7.334,
1990-12-15,       6.332,
1991-01-15,       7.751,
1991-02-15,       7.036,
1991-03-15,       6.044,
1991-04-15,       6.643,
1991-05-15,       5.754,
1991-06-15,       5.601,
1991-07-15,       5.862,
1991-08-15,       7.023,
1991-09-15,       6.008,
1991-10-15,       5.848,
1991-11-15,       6.148,
1991-12-15,       5.731,
1992-01-15,       6.500,
1992-02-15,       6.582,
1992-03-15,       5.921,
1992-04-15,       5.939,
1992-05-15,       5.542,
1992-06-15,       6.146,
1992-07-15,       6.366,
1992-08-15,       7.151,
1992-09-15,       6.238,
1992-10-15,       6.971,
1992-11-15,       5.580,
1992-12-15,       7.169,
1993-01-15,       6.571,
1993-02-15,       6.823,
1993-03-15,       5.529,
1993-04-15,       5.789,
1993-05-15,       5.762,
1993-06-15,       6.242,
1993-07-15,       6.878,
1993-08-15,       6.889,
1993-09-15,       6.193,
1993-10-15,       6.164,
1993-11-15,       6.696,
1993-12-15,       7.486,
1994-01-15,       7.348,
1994-02-15,       7.585,
1994-03-15,       6.255,
1994-04-15,       5.955,
1994-05-15,       5.812,
1994-06-15,       6.875,
1994-07-15,       6.352,
1994-08-15,       6.328,
1994-09-15,       6.479,
1994-10-15,       5.490,
1994-11-15,       6.395,
1994-12-15,       7.614,
1995-01-15,       8.327,
1995-02-15,       6.400,
1995-03-15,       6.858,
1995-04-15,       6.005,
1995-05-15,       6.420,
1995-06-15,       6.874,
1995-07-15,       7.307,
1995-08-15,       7.216,
1995-09-15,       7.282,
1995-10-15,       7.531,
1995-11-15,       6.992,
1995-12-15,       7.419,
1996-01-15,       7.501,
1996-02-15,       7.712,
1996-03-15,       6.942,
1996-04-15,       6.061,
1996-05-15,       6.814,
1996-06-15,       7.802,
1996-07-15,       7.569,
1996-08-15,       6.825,
1996-09-15,       6.977,
1996-10-15,       7.341,
1996-11-15,       7.406,
1996-12-15,       8.431,
1997-01-15,       7.900,
1997-02-15,       8.386,
1997-03-15,       6.822,
1997-04-15,       6.229,
1997-05-15,       5.594,
1997-06-15,       5.659,
1997-07-15,       6.832,
1997-08-15,       5.650,
1997-09-15,       5.482,
1997-10-15,       5.284,
1997-11-15,       4.340,
1997-12-15,       6.268,
1998-01-15,       6.904,
1998-02-15,       7.426,
1998-03-15,       6.417,
1998-04-15,       6.228,
1998-05-15,       5.799,
1998-06-15,       6.619,
1998-07-15,       7.318,
1998-08-15,       7.351,
1998-09-15,       7.384,
1998-10-15,       7.429,
1998-11-15,       7.004,
1998-12-15,       8.282,
1999-01-15,       8.009,
1999-02-15,       6.620,
1999-03-15,       7.047,
1999-04-15,       6.098,
1999-05-15,       6.939,
1999-06-15,       7.083,
1999-07-15,       8.514,
1999-08-15,       7.297,
1999-09-15,       6.539,
1999-10-15,       7.507,
1999-11-15,       7.253,
1999-12-15,       7.928,
2000-01-15,       8.778,
2000-02-15,       7.290,
2000-03-15,       7.070,
2000-04-15,       6.292,
2000-05-15,       6.352,
2000-06-15,       6.840,
2000-07-15,       7.009,
2000-08-15,       8.396,
2000-09-15,       7.586,
2000-10-15,       7.055,
2000-11-15,       7.386,
2000-12-15,       7.083,
2001-01-15,       7.730,
2001-02-15,       7.788,
2001-03-15,       7.002,
2001-04-15,       6.374,
2001-05-15,       6.508,
2001-06-15,       6.438,
2001-07-15,       7.635,
2001-08-15,       7.860,
2001-09-15,       6.996,
2001-10-15,       6.700,
2001-11-15,       7.046,
2001-12-15,       7.934,
2002-01-15,       7.708,
2002-02-15,       7.812,
2002-03-15,       7.780,
2002-04-15,       6.651,
2002-05-15,       5.966,
2002-06-15,       5.940,
2002-07-15,       7.142,
2002-08-15,       7.461,
2002-09-15,       7.061,
2002-10-15,       6.438,
2002-11-15,       7.224,
2002-12-15,       7.208,
2003-01-15,       8.031,
2003-02-15,       7.121,
2003-03-15,       6.657,
2003-04-15,       6.547,
2003-05-15,       6.328,
2003-06-15,       6.111,
2003-07-15,       7.221,
2003-08-15,       6.834,
2003-09-15,       6.737,
2003-10-15,       6.019,
2003-11-15,       5.850,
2003-12-15,       8.353,
2004-01-15,       7.036,
2004-02-15,       8.223,
2004-03-15,       6.811,
2004-04-15,       6.821,
2004-05-15,       7.106,
2004-06-15,       7.427,
2004-07-15,       5.730,
2004-08-15,       8.379,
2004-09-15,       6.925,
2004-10-15,       6.677,
2004-11-15,       5.728,
2004-12-15,       7.384,
2005-01-15,       7.978,
2005-02-15,       7.025,
2005-03-15,       6.174,
2005-04-15,       6.955,
2005-05-15,       6.210,
2005-06-15,       6.154,
2005-07-15,       6.937,
2005-08-15,       6.504,
2005-09-15,       7.187,
2005-10-15,       7.027,
2005-11-15,       7.913,
2005-12-15,       7.531,
2006-01-15,       8.023,
2006-02-15,       6.259,
2006-03-15,       6.775,
2006-04-15,       6.066,
2006-05-15,       5.683,
