DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
2014-02-15,      25.885,
2014-03-15,      26.892,
2014-04-15,      27.987,
2014-05-15,      28.326,
2014-06-15,      28.177,
2014-07-15,      27.268,
2014-08-15,      26.887,
2014-09-15,      27.071,
2014-10-15,      27.200,
2014-11-15,      27.569,
2014-12-15,      27.276,
2015-01-15,      27.074,
2015-02-15,      27.478,
2015-03-15,      27.676,
2015-04-15,      28.627,
2015-05-15,      28.714,
2015-06-15,      28.733,
2015-07-15,      28.563,
2015-08-15,      28.555,
2015-09-15,      28.551,
2015-10-15,      28.975,
2015-11-15,      29.541,
2015-12-15,      29.033,
2016-01-15,      29.035,
2016-02-15,      28.966,
2016-03-15,      28.845,
2016-04-15,      28.788,
2016-05-15,      28.153,
2016-06-15,      27.732,
2016-07-15,      26.878,
2016-08-15,      26.414,
2016-09-15,      26.335,
2016-10-15,      26.069,
2016-11-15,      26.177,
2016-12-15,      26.311,
2017-01-15,      26.300,
2017-02-15,      26.834,
2017-03-15,      27.441,
2017-04-15,      28.167,
2017-05-15,      28.298,
2017-06-15,      28.101,
2017-07-15,      27.579,
2017-08-15,      26.846,
2017-09-15,      26.443,
2017-10-15,      26.400,
2017-11-15,      25.913,
2017-12-15,      25.716,
2018-01-15,      25.866,
2018-02-15,      26.063,
2018-03-15,      26.501,
2018-04-15,      27.311,
2018-05-15,      27.767,
2018-06-15,      27.856,
2018-07-15,      27.518,
2018-08-15,      27.183,
2018-09-15,      27.096,
2018-10-15,      27.629,
2018-11-15,      27.685,
2018-12-15,      27.543,
2019-01-15,      27.239,
2019-02-15,      27.439,
2019-03-15,      28.207,
2019-04-15,      28.530,
2019-05-15,      28.626,
2019-06-15,      28.305,
2019-07-15,      27.721,
2019-08-15,      27.055,
2019-09-15,      26.753,
2019-10-15,      27.284,
2019-11-15,      27.284,
2019-12-15,      27.079,
2020-01-15,      27.085,
2020-02-15,      27.086,
2020-03-15,      27.699,
2020-04-15,      28.221,
2020-05-15,      27.668,
2020-06-15,      27.440,
2020-07-15,      27.154,
2020-08-15,      26.384,
2020-09-15,      26.121,
2020-10-15,      25.638,
2020-11-15,      25.593,
2020-12-15,      25.656,
2021-01-15,      25.666,
2021-02-15,      25.867,
2021-03-15,      26.687,
2021-04-15,      27.238,
2021-05-15,      27.559,
2021-06-15,      27.668,
2021-07-15,      27.106,
2021-08-15,      26.617,
2021-09-15,      26.492,
2021-10-15,      25.998,
2021-11-15,      25.968,
2021-12-15,      25.594,
2022-01-15,      25.731,
2022-02-15,      26.012,
2022-03-15,      26.352,
2022-04-15,      26.843,
2022-05-15,      26.838,
2022-06-15,      27.053,
2022-07-15,      26.667,
2022-08-15,      25.945,
2022-09-15,      25.837,
2022-10-15,      25.927,
2022-11-15,      25.890,
2022-12-15,      25.808,
2023-01-15,      25.882,
2023-02-15,      26.260,
2023-03-15,      27.214,
2023-04-15,      27.988,
2023-05-15,      28.343,
2023-06-15,      28.611,
2023-07-15,      28.348,
2023-08-15,      28.204,
2023-09-15,      28.317,
2023-10-15,      28.364,
2023-11-15,      28.710,
2023-12-15,      28.618,
